res1,res2,delta,Cscore,Real
24,115,91,2.93554151058197,True
9,115,106,2.9336023360490797,True
62,68,6,2.922345530986786,False
1,117,116,2.8866638422012327,False
39,87,48,2.8649936854839324,False
23,149,126,2.8624890059232713,True
39,59,20,2.8604942321777345,False
23,148,125,2.85593786239624,True
26,146,120,2.835129189491272,True
1,88,87,2.8298422515392305,False
35,54,19,2.8159750163555146,True
105,132,27,2.8138294577598573,False
47,53,6,2.809663790464401,False
16,93,77,2.8066240906715394,False
2,103,101,2.803188645839691,True
25,144,119,2.795758306980133,False
111,137,26,2.7914300084114076,False
131,159,28,2.785958832502365,False
117,143,26,2.7857722878456115,False
45,123,78,2.78471417427063,False
1,91,90,2.7692291140556335,True
24,142,118,2.747964596748352,False
26,143,117,2.747422695159912,False
33,159,126,2.7432906925678253,False
114,138,24,2.721726107597351,False
12,130,118,2.7164653062820436,False
58,89,31,2.693096876144409,False
141,147,6,2.692769280076027,True
1,137,136,2.688502013683319,False
4,93,89,2.6812484085559847,True
23,29,6,2.6804115533828736,False
45,64,19,2.65764519572258,False
40,53,13,2.651620066165924,False
56,88,32,2.612002232670784,False
39,60,21,2.6099181085824967,True
24,146,122,2.6078735321760176,False
2,106,104,2.594734340906143,True
6,111,105,2.5932448744773864,True
1,86,85,2.5654526710510255,False
9,100,91,2.563051760196686,False
66,74,8,2.5580162346363067,True
69,74,5,2.5559472888708115,True
42,49,7,2.5186371549963953,False
19,45,26,2.505854082107544,False
114,159,45,2.5039726197719574,False
114,135,21,2.4952460408210753,False
139,151,12,2.486917954683304,False
14,28,14,2.482993096113205,False
6,12,6,2.4785823464393615,False
104,130,26,2.4711482644081117,False
10,117,107,2.462613832950592,True
24,151,127,2.4457868456840517,True
8,52,44,2.442219001054764,False
130,159,29,2.4369617640972137,False
39,89,50,2.4323900818824766,False
24,149,125,2.428072413802147,True
28,49,21,2.4206559300422668,False
38,88,50,2.4116915851831435,True
75,80,5,2.3932510897517205,True
23,144,121,2.3910846650600432,False
115,148,33,2.3636886358261107,False
117,150,33,2.3626957654953005,False
8,21,13,2.353961142152548,False
112,154,42,2.3487857937812806,True
72,159,87,2.348534309864044,False
141,153,12,2.33897665143013,True
141,156,15,2.3383513182401656,False
1,118,117,2.3360952138900757,False
22,115,93,2.3240182131528853,True
53,70,17,2.321463096141815,False
38,58,20,2.3192249834537506,True
20,102,82,2.3119073688983915,False
41,85,44,2.3095891386270524,True
22,121,99,2.3036562649533154,False
30,92,62,2.29604150056839,False
115,151,36,2.288904970884323,True
83,108,25,2.24127556681633,False
34,92,58,2.238657456636429,True
140,151,11,2.2383549571037293,True
1,39,38,2.237133099138737,False
1,143,142,2.2361252784729,False
41,93,52,2.229732722043991,True
1,120,119,2.2256288528442383,False
20,30,10,2.2142121732234954,False
6,100,94,2.213817259669304,True
2,90,88,2.1986914932727815,False
4,19,15,2.196305513381958,False
127,145,18,2.1936400320380924,False
77,102,25,2.1736651718616486,False
24,147,123,2.171512243151665,True
39,85,46,2.170645260810852,True
86,136,50,2.154208442568779,False
68,76,8,2.1540271759033205,False
20,123,103,2.1470781564712524,False
23,64,41,2.1390727758407593,False
28,59,31,2.134205901622772,False
1,15,14,2.1224771320819853,False
101,159,58,2.115099561214447,False
17,123,106,2.1102947138249872,False
45,62,17,2.105088484287262,False
19,52,33,2.0971190974116327,False
26,149,123,2.0965895116329194,False
26,148,122,2.0964929133653643,False
129,159,30,2.0935081958770754,False
134,149,15,2.0914152950048446,False
113,141,28,2.086292973160744,False
112,128,16,2.062087297439575,False
24,117,93,2.060975134372711,False
64,101,37,2.060376873612404,False
47,52,5,2.059167755395174,False
86,144,58,2.0475351393222807,False
22,117,95,2.0455332428216932,True
23,32,9,2.0387529850006105,False
142,153,11,2.0312689930200576,False
1,85,84,2.0265454947948456,False
10,55,45,2.006579214334488,False
130,145,15,2.004190096259117,False
120,145,25,1.9997673273086547,False
5,100,95,1.991120558977127,False
104,125,21,1.9910931617021561,False
10,115,105,1.9861686319112777,False
29,141,112,1.9828785508871078,False
58,88,30,1.9769811511039734,False
10,114,104,1.9755181193351745,False
4,155,151,1.9655881345272064,False
20,100,80,1.9617920756340026,False
18,50,32,1.9606558799743652,False
4,92,88,1.9564972043037414,True
58,85,27,1.9561174243688584,True
8,128,120,1.9551020361483098,False
62,93,31,1.9540433794260026,False
92,125,33,1.9538283824920655,False
2,108,106,1.9486702054738998,True
4,20,16,1.943816316127777,False
1,71,70,1.9325998574495316,False
11,124,113,1.9251146078109742,True
1,97,96,1.9242682218551637,False
64,102,38,1.912262612581253,False
88,159,71,1.9115625500679017,False
30,113,83,1.903946626186371,True
68,75,7,1.8983181357383727,False
143,149,6,1.8942796990275383,True
1,141,140,1.8926466941833495,False
18,98,80,1.885371333360672,False
1,94,93,1.8845108926296235,False
1,110,109,1.8827078878879546,False
5,20,15,1.878559648990631,False
50,100,50,1.876011098921299,False
39,56,17,1.870918396860361,False
141,150,9,1.8689838528633118,True
114,127,13,1.86531201004982,False
50,72,22,1.8583390951156615,False
78,99,21,1.8562682926654817,False
33,55,22,1.8512565672397614,False
94,100,6,1.8457166008651256,False
124,159,35,1.842687463760376,False
1,159,158,1.8404551804065705,False
144,152,8,1.840226648747921,False
20,117,97,1.8392184793949127,True
33,137,104,1.8389274299144744,False
20,115,95,1.8378511816263199,False
130,135,5,1.8323559939861298,True
32,57,25,1.8322415888309478,False
18,45,27,1.825607419013977,False
42,59,17,1.822250247001648,True
1,132,131,1.8103979766368865,False
66,143,77,1.8102274477481841,False
133,152,19,1.8096319437026978,False
39,133,94,1.7977833092212676,False
1,109,108,1.7936846524477006,True
14,52,38,1.7929419949650764,False
45,102,57,1.7749495267868043,False
72,145,73,1.7709235966205596,False
26,150,124,1.7691699683666229,False
6,130,124,1.7684129625558853,False
32,146,114,1.7658463716506958,False
42,94,52,1.7640562385320664,True
6,126,120,1.763153502345085,False
110,125,15,1.7564218670129776,False
3,127,124,1.7560936838388443,False
111,125,14,1.754848176240921,False
97,125,28,1.7512206166982651,True
6,86,80,1.7491823047399522,False
130,156,26,1.7393101707100869,False
4,105,101,1.7390211552381516,False
25,33,8,1.7374252676963806,False
78,159,81,1.7341413259506226,False
27,155,128,1.7303932428359985,False
110,130,20,1.71982451826334,False
144,150,6,1.711940884590149,False
3,155,152,1.7109364807605743,False
12,128,116,1.7093790292739868,False
18,99,81,1.7090537011623383,False
19,49,30,1.6972632825374603,True
115,130,15,1.696932038664818,False
60,84,24,1.6940232515335083,True
122,159,37,1.69275159239769,False
1,107,106,1.6898419588804245,False
21,28,7,1.6860382318496705,False
1,89,88,1.6830684542655945,True
47,61,14,1.6820985555648804,True
80,140,60,1.6800779581069947,False
110,133,23,1.6795809268951416,True
141,148,7,1.6783601701259614,False
1,155,154,1.6734430015087127,False
60,73,13,1.6732223153114318,True
78,105,27,1.6724394679069519,False
50,94,44,1.6709296882152558,False
3,157,154,1.6686178296804428,False
30,139,109,1.6679457187652589,False
12,126,114,1.6679036915302277,False
4,108,104,1.6673753440380097,False
1,14,13,1.667051488161087,False
67,159,92,1.66682510972023,False
14,88,74,1.6650879666209222,False
1,10,9,1.6612801015377046,False
125,130,5,1.656681987643242,False
83,144,61,1.6543483674526214,False
34,52,18,1.6521855309605598,False
52,69,17,1.6460962504148484,False
37,159,122,1.6436303973197937,False
12,112,100,1.6407783269882201,False
142,151,9,1.6364844143390656,False
18,150,132,1.6351882547140122,False
127,159,32,1.6349238455295563,False
1,136,135,1.6348340883851051,False
52,97,45,1.6325427711009979,False
139,158,19,1.6324607387185097,False
3,83,80,1.6324101567268372,False
25,66,41,1.6275047332048416,False
30,38,8,1.6255817323923112,False
14,61,47,1.6250861324369907,False
25,147,122,1.6240367889404297,True
65,102,37,1.6212591588497163,False
144,153,9,1.6195875883102417,False
55,140,85,1.612104159593582,False
139,155,16,1.6102041751146317,False
1,148,147,1.6036269605159759,False
132,159,27,1.6010341882705688,True
8,152,144,1.5959288954734803,False
2,74,72,1.5936735212802886,False
86,157,71,1.5873909652233125,False
108,157,49,1.5825769186019898,True
38,91,53,1.582143819332123,True
6,25,19,1.579943799972534,False
63,98,35,1.5747113794088363,False
67,74,7,1.5735588431358338,True
82,115,33,1.5714461199939251,False
1,123,122,1.5707952320575713,False
71,152,81,1.5691650807857513,False
61,74,13,1.5688032120466233,True
1,72,71,1.5672943115234375,False
142,147,5,1.5663758873939515,False
82,103,21,1.5629401177167892,False
116,140,24,1.5603314131498336,False
20,29,9,1.5599503993988038,False
34,85,51,1.5599131762981415,False
20,49,29,1.553838949650526,False
74,89,15,1.5455768555402756,False
2,144,142,1.5425967544317245,False
27,53,26,1.5423621207475662,False
69,138,69,1.5422514796257019,False
142,148,6,1.5363393992185592,False
88,145,57,1.536034643650055,False
17,145,128,1.532888501882553,False
12,144,132,1.5311619848012925,False
2,104,102,1.531090834736824,False
13,21,8,1.5298003256320953,False
73,86,13,1.5287948191165923,False
17,122,105,1.5285249471664428,False
83,127,44,1.526311394572258,False
36,94,58,1.5238694369792938,False
8,18,10,1.5232961833477021,False
127,140,13,1.5225693821907043,False
11,120,109,1.5161354646086693,False
69,102,33,1.5126298993825913,False
1,152,151,1.5114080429077148,False
120,159,39,1.503717228770256,False
11,86,75,1.4956797137856483,False
55,133,78,1.493852386623621,False
26,157,131,1.4930889070034028,False
4,159,155,1.4910544455051422,False
6,97,91,1.4905604809522628,False
108,142,34,1.4889813646674157,False
23,147,124,1.4889121353626251,True
28,129,101,1.4888315424323082,False
109,136,27,1.4883968561887742,False
40,62,22,1.4869312524795533,False
1,87,86,1.4864229559898376,False
66,142,76,1.4845087289810182,False
21,115,94,1.4840520322322845,False
19,97,78,1.4830771327018737,False
47,59,12,1.4812825292348861,True
11,159,148,1.4761025875806808,False
88,104,16,1.4725650250911713,False
108,155,47,1.4723792895674706,False
24,148,124,1.470567187666893,True
143,151,8,1.469351840019226,True
3,39,36,1.4681337237358094,False
72,85,13,1.4673643857240677,False
18,84,66,1.4560767769813538,False
133,138,5,1.4541583821177482,False
1,111,110,1.4516605734825134,False
24,97,73,1.4491939038038253,False
6,115,109,1.4475013136863708,False
55,70,15,1.4457166910171508,False
70,145,75,1.4390627902001143,False
117,156,39,1.4362764209508896,False
26,38,12,1.4361208021640777,False
119,147,28,1.4344239249825477,False
112,130,18,1.4307396069169045,False
34,50,16,1.4285887122154235,False
117,144,27,1.4261392652988434,False
81,91,10,1.421941177546978,False
78,156,78,1.4201224267482757,False
24,119,95,1.4196472883224487,False
1,112,111,1.4183752715587616,False
45,99,54,1.4154800534248353,False
69,123,54,1.4140158236026763,False
39,106,67,1.4137550726532937,False
4,86,82,1.4132651954889297,False
124,144,20,1.412892296910286,False
27,151,124,1.4124557092785834,True
12,47,35,1.4063582673668862,False
2,145,143,1.4037232197821141,False
69,148,79,1.4024399802088738,False
4,102,98,1.4023759633302688,False
46,94,48,1.4021500170230865,True
24,150,126,1.3982692539691925,False
104,112,8,1.3961717426776885,False
34,155,121,1.3957570277154445,False
55,142,87,1.392469158768654,False
37,89,52,1.391106015443802,False
107,144,37,1.3909565165638924,False
1,40,39,1.3873190402984619,False
2,130,128,1.3845740139484406,False
8,130,122,1.3840075887739658,False
80,87,7,1.3838371545076371,False
137,159,22,1.3814603507518768,False
85,124,39,1.3801396936178207,False
58,86,28,1.3788020491600037,False
70,148,78,1.375532415509224,False
27,141,114,1.3748053446412087,False
33,56,23,1.374184861779213,False
38,144,106,1.372900378704071,False
26,37,11,1.3727871984243394,False
50,98,48,1.3711881399154664,False
36,58,22,1.3711718618869781,False
24,140,116,1.3700514495372773,False
17,159,142,1.3697581946849824,False
82,94,12,1.369454239308834,False
98,123,25,1.365658727288246,False
7,123,116,1.3561270147562028,False
44,65,21,1.3552524030208588,True
104,159,55,1.3547604709863663,False
133,144,11,1.3544228494167327,False
10,153,143,1.3519786208868028,False
1,33,32,1.3516310036182404,False
93,146,53,1.350923517346382,False
1,61,60,1.350313802808523,False
12,124,112,1.3493344597518444,True
23,119,96,1.3490448385477065,False
69,152,83,1.3470121189951896,False
1,22,21,1.3446051895618438,False
65,74,9,1.342816913127899,False
8,50,42,1.3362821340560913,False
1,47,46,1.3335397303104402,False
144,151,7,1.3321166217327118,False
36,57,21,1.331136080622673,True
45,69,24,1.3283393956720828,False
115,123,8,1.3276216853410006,False
139,159,20,1.3251077443361283,False
93,105,12,1.3219140268862248,False
117,146,29,1.3203348129987718,False
83,140,57,1.3198033295571805,False
1,151,150,1.3142889440059662,False
58,72,14,1.3140392065048219,False
20,66,46,1.3122987806797028,False
85,103,18,1.311666339635849,False
39,91,52,1.3114928394556045,True
18,143,125,1.3105302453041077,False
86,127,41,1.3096599265933038,False
24,145,121,1.3035997986793517,False
104,126,22,1.3022942699491977,True
42,58,16,1.3019901543855668,False
38,149,111,1.3013632774353028,False
131,149,18,1.3006000816822052,False
1,16,15,1.29776990711689,False
90,137,47,1.297417236864567,False
1,26,25,1.2965205550193786,False
34,90,56,1.2963524878025054,False
3,97,94,1.2954738914966584,False
8,158,150,1.2923301696777343,False
39,49,10,1.2915722966194152,False
28,33,5,1.2914768397808074,False
148,158,10,1.2912805557250977,False
39,137,98,1.2904489882290364,False
47,92,45,1.2903837196528911,False
36,60,24,1.2898276537656783,False
27,39,12,1.28910950422287,False
15,40,25,1.2873680122196673,False
63,78,15,1.2868338346481323,False
83,133,50,1.284139010310173,False
111,150,39,1.2839434251189232,False
119,128,9,1.2816701009869576,False
4,138,134,1.280642718076706,False
37,47,10,1.278477993607521,False
63,70,7,1.2772395998239516,False
29,74,45,1.2760732538998127,False
93,115,22,1.271233406662941,False
28,40,12,1.2674302279949188,False
149,156,7,1.2641310662031173,False
52,136,84,1.2631640136241913,False
8,22,14,1.2613759562373161,False
29,56,27,1.259410297870636,False
9,158,149,1.2588926643133163,False
1,69,68,1.258216029405594,False
132,156,24,1.2565736830234528,False
1,76,75,1.2564774841070174,False
32,155,123,1.2551703721284866,False
55,117,62,1.2537977807223797,False
141,155,14,1.253377041220665,False
83,109,26,1.2533216536045075,False
38,45,7,1.2522942841053009,False
10,123,113,1.2481790617108346,False
128,159,31,1.24480759203434,False
1,145,144,1.2443698439747095,False
34,55,21,1.2441633850336076,False
19,28,9,1.2433920711278916,False
37,52,15,1.2412672191858292,False
78,131,53,1.2408604696393013,False
28,151,123,1.2392840087413788,False
16,118,102,1.235944500565529,False
145,152,7,1.2346923679113389,False
74,155,81,1.2326895520091057,False
55,153,98,1.2316888242959976,False
24,45,21,1.2294725768268109,False
26,33,7,1.228134997934103,False
114,128,14,1.2273958325386047,False
63,69,6,1.2270700491964817,False
18,122,104,1.2264521420001984,False
1,146,145,1.2244197994470596,False
4,148,144,1.2223433673381805,False
24,29,5,1.222037523984909,False
7,115,108,1.2217472836375236,True
39,81,42,1.2182667970657348,False
8,133,125,1.217819056659937,False
18,134,116,1.216914315521717,False
12,148,136,1.2151278167963029,False
3,108,105,1.2141702771186829,True
28,127,99,1.2133105158805848,False
30,156,126,1.2120079025626183,False
88,133,45,1.2113882996141911,False
67,158,91,1.208419606089592,False
18,40,22,1.2056545913219452,False
123,138,15,1.2042019233107566,False
148,159,11,1.201417338848114,False
32,140,108,1.1998772084712983,False
108,159,51,1.1979282036423684,False
30,52,22,1.1977385014295578,False
8,90,82,1.197120326757431,False
112,125,13,1.1966512858867646,False
117,147,30,1.1939936816692351,False
9,97,88,1.193571200966835,False
82,99,17,1.1932029336690904,False
54,59,5,1.1901305474340915,True
122,127,5,1.1884230494499206,False
127,141,14,1.1857030928134917,False
32,145,113,1.185140186175704,False
3,85,82,1.1829729825258255,False
2,24,22,1.1808523327112197,False
110,131,21,1.1795984461903573,False
51,144,93,1.1761092334985732,False
1,119,118,1.1735985800623894,False
44,64,20,1.1733542889356614,False
18,141,123,1.172587788105011,False
76,86,10,1.1725452542304993,False
124,148,24,1.1722751706838608,False
72,105,33,1.17066470682621,False
1,101,100,1.1691885739564896,False
28,74,46,1.1645445466041564,False
112,127,15,1.1643066167831422,False
37,141,104,1.1633565455675126,False
94,145,51,1.162951473891735,False
17,120,103,1.161622953414917,False
2,72,70,1.1598506271839142,False
49,94,45,1.159144139289856,False
61,128,67,1.1569772124290467,False
123,128,5,1.156395274400711,False
12,101,89,1.1553570091724397,False
72,149,77,1.1535355851054192,False
139,144,5,1.1519884064793586,False
103,122,19,1.1519566565752029,False
87,131,44,1.1492622077465058,False
38,103,65,1.1469973295927047,False
33,157,124,1.1465980514883996,False
25,143,118,1.1463261425495148,False
66,83,17,1.1461688041687013,False
139,146,7,1.1458644986152648,False
101,127,26,1.1455196034163238,False
75,127,52,1.1445037193596364,False
89,138,49,1.143391600251198,False
14,21,7,1.1428753852844238,False
36,92,56,1.1426598012447358,False
65,86,21,1.1424338161945342,False
86,145,59,1.141977857798338,False
70,99,29,1.1411896139383315,False
45,152,107,1.1411856666207314,False
19,102,83,1.1363808155059814,False
40,71,31,1.1344950094819068,False
88,106,18,1.1335931465029716,False
148,153,5,1.1325930885970592,False
6,128,122,1.1318091571331024,False
9,47,38,1.1302370190620423,False
131,136,5,1.129744416475296,False
37,118,81,1.128407321870327,False
28,34,6,1.126267746090889,False
106,159,53,1.1248502980917692,False
9,25,16,1.1232518166303636,False
87,130,43,1.121968999505043,False
27,144,117,1.1214551135897637,False
6,92,86,1.1183243304491044,False
87,136,49,1.11690806299448,False
69,158,89,1.1161319136619567,False
29,157,128,1.113890704512596,False
117,148,31,1.1123856753110886,False
138,155,17,1.1119205191731454,True
23,156,133,1.11094578653574,False
119,140,21,1.1091140359640121,False
142,156,14,1.1075034156441688,False
93,106,13,1.106076368689537,False
111,144,33,1.102796447277069,False
19,99,80,1.101310169696808,False
25,153,128,1.096434834599495,False
52,86,34,1.0937198638916015,False
86,91,5,1.093091231584549,False
9,127,118,1.0924977302551269,False
102,155,53,1.0914870619773864,False
59,71,12,1.0914434596896172,True
47,124,77,1.091156893968582,False
24,113,89,1.089614635705948,True
118,159,41,1.0851847410202027,False
1,6,5,1.0848565205931664,False
33,92,59,1.0843055993318558,False
60,88,28,1.084194189310074,False
135,152,17,1.0838434174656868,False
97,102,5,1.083575689792633,False
1,114,113,1.0832708567380904,False
38,137,99,1.0828577518463134,False
8,100,92,1.0828260272741317,False
58,87,29,1.0827080197632313,False
48,64,16,1.0819546408951282,False
26,34,8,1.0811447143554687,False
34,148,114,1.0807656049728394,False
9,114,105,1.0778873465955257,False
73,85,12,1.076742921024561,False
25,159,134,1.074657955765724,False
79,159,80,1.0724420949816704,False
99,138,39,1.072156596183777,False
37,146,109,1.0720240101218224,False
61,140,79,1.0717427104711532,False
135,149,14,1.06748369038105,False
38,145,107,1.067152501642704,False
20,125,105,1.066329576075077,False
127,149,22,1.0660491533577443,False
19,127,108,1.0655790954828261,False
136,146,10,1.065560433268547,False
141,152,11,1.0654616519808768,True
99,111,12,1.0640868335962295,False
69,115,46,1.0627723783254623,False
1,133,132,1.0626884549856186,False
151,156,5,1.0624840334057808,False
73,87,14,1.0608765572309493,False
101,134,33,1.0606601968407632,False
88,147,59,1.0593308836221695,False
101,130,29,1.0573994740843773,False
28,100,72,1.0556284189224243,False
29,147,118,1.0546113312244416,False
89,149,60,1.0545985341072082,False
12,125,113,1.0531615313142537,True
19,53,34,1.0524627462029457,False
53,104,51,1.0514815270900726,False
140,148,8,1.0512961983680724,False
2,139,137,1.0512848943471909,False
12,123,111,1.0493433326482773,False
86,149,63,1.048656238615513,False
82,140,58,1.0441736251115799,False
1,156,155,1.0435431361198426,False
136,141,5,1.0430712178349495,False
78,93,15,1.0425219804048538,False
39,73,34,1.041112956404686,False
19,98,79,1.0405543863773346,False
87,115,28,1.0400820612907409,False
72,120,48,1.0379765778779984,False
8,156,148,1.0373487289994956,False
70,159,89,1.0358150601387024,False
29,40,11,1.035297091305256,False
26,98,72,1.033230997622013,False
48,130,82,1.032820427417755,False
103,142,39,1.0301314726471902,False
4,39,35,1.0299843162298203,False
3,103,100,1.0299043774604797,False
111,156,45,1.0275668114423753,False
61,159,98,1.0274430945515634,False
76,127,51,1.0268358677625655,False
27,113,86,1.0263320237398148,True
77,149,72,1.0243922099471092,False
65,77,12,1.023018066585064,False
69,142,73,1.0208609968423843,False
1,139,138,1.0184241943061352,False
87,146,59,1.0174977734684945,False
84,101,17,1.0160784140229224,False
60,74,14,1.0142737090587617,True
11,116,105,1.012703786790371,False
19,29,10,1.0118269056081772,False
87,153,66,1.0109981089830398,False
85,135,50,1.010347929596901,False
111,149,38,1.0103470742702485,False
81,114,33,1.0097508050501347,False
32,149,117,1.0087491944432259,False
1,62,61,1.0081999868154525,False
79,107,28,1.0072366088628768,False
49,130,81,1.0069063857197762,False
33,62,29,1.0056866273283958,False
1,131,130,1.0053044736385346,False
97,146,49,1.0048309430480002,False
69,87,18,1.003560647368431,False
1,153,152,1.0033428192138671,False
49,145,96,1.0020308077335358,False
131,146,15,1.0010338962078094,False
47,150,103,0.9997007936239243,False
28,130,102,0.9990127265453339,False
45,146,101,0.9987522900104523,False
72,90,18,0.99872025847435,False
32,94,62,0.9982442952692508,False
78,88,10,0.9975667774677277,False
70,134,64,0.9973624259233475,False
98,145,47,0.9969724342226982,False
92,159,67,0.9956166353076696,False
8,51,43,0.9955185532569886,False
65,104,39,0.9946242868900299,False
20,36,16,0.9944048747420311,False
17,115,98,0.9930647864937783,False
62,97,35,0.9928042583167553,False
22,47,25,0.9917876869440079,False
45,88,43,0.9915433406829834,False
42,57,15,0.9893473207950592,False
1,84,83,0.9880957067012787,False
34,46,12,0.9864712834358216,False
23,146,123,0.983213971555233,True
37,70,33,0.9808502495288849,False
3,48,45,0.9805484235286712,False
110,136,26,0.9805138438940049,False
34,110,76,0.9800392836332321,False
1,103,102,0.9799499183893203,False
101,133,32,0.979680648446083,False
75,146,71,0.9787564434111118,False
99,106,7,0.9772627353668213,False
139,152,13,0.9763064861297608,True
101,115,14,0.9758346766233444,False
37,71,34,0.9756742134690285,False
64,144,80,0.9748148158192634,False
52,65,13,0.9740680813789367,False
19,55,36,0.9736650072038173,False
106,145,39,0.9724232703447342,False
28,108,80,0.9714204996824265,False
109,128,19,0.9713618710637093,False
30,36,6,0.9708361893892288,False
5,125,120,0.9702653259038925,False
61,71,10,0.968715637922287,False
12,146,134,0.965961192548275,False
93,123,30,0.9644465535879135,False
89,159,70,0.9608962625265122,False
